date,equal_linear,pca_linear,equal_geometric,composite_index
2017-05-01,0.48902659511159113,-0.026774840709912793,0.5506198497573033,0.48902659511159113
2017-06-01,0.5925439468217205,0.3757411730375625,0.34509172006674027,0.5925439468217205
2017-07-01,0.45756604429959463,0.29871471201689687,0.0941396658981187,0.45756604429959463
2017-08-01,0.17218005852710394,0.09853609289098254,-0.08742779095099204,0.17218005852710394
2017-09-01,0.116767631833561,0.09080293209801564,-0.40871761395863876,0.116767631833561
2017-10-01,0.13533566695252894,0.03009953797738658,-0.8696458903665231,0.13533566695252894
2017-11-01,-0.11165549229317939,-0.6597327560974497,-1.3951763267544317,-0.11165549229317939
2017-12-01,0.0014710085522140915,-0.5482638857317567,-0.44106749084802804,0.0014710085522140915
2018-01-01,0.24072294377364256,-0.4456573678493715,-0.7431724095460905,0.24072294377364256
2018-02-01,0.3028338067188098,-0.21951898229047398,-1.3069078233112563,0.3028338067188098
2018-03-01,0.08363099278560927,-0.6528238725492724,-0.8018647628481244,0.08363099278560927
2018-04-01,-0.15471325528398389,-0.7119161991602639,-0.6281368231552361,-0.15471325528398389
2018-05-01,-0.2286005385863854,-1.100703475528844,-0.7931934510894585,-0.2286005385863854
2018-06-01,0.20065213632610307,-0.676452619797578,-0.4151802043847621,0.20065213632610307
2018-07-01,0.31595630713892,-0.6786253056076141,-0.08682206034910933,0.31595630713892
2018-08-01,-0.09755991678747733,-1.4912834984296042,-0.10448249853479523,-0.09755991678747733
2018-09-01,-0.6745363840333124,-2.073717391630611,-0.40876400997543455,-0.6745363840333124
2018-10-01,-0.8564250136557076,-1.9027775631894213,-0.24808872189497921,-0.8564250136557076
2018-11-01,-0.26101251395583147,-0.36159608630557283,0.4325410165197215,-0.26101251395583147
2018-12-01,0.38648519947059057,1.0079244328464492,0.860622606656657,0.38648519947059057
2019-01-01,0.7962274257790674,1.535172672237641,0.9868865424013356,0.7962274257790674
2019-02-01,0.7182224670915736,1.3434010208765064,0.8943126370173082,0.7182224670915736
2019-03-01,0.4288300395625266,0.7627147560757803,0.5620028810988835,0.4288300395625266
2019-04-01,0.3003262761359487,0.32804275705474906,0.2050571666989112,0.3003262761359487
2019-05-01,0.08630318021173104,0.30488102096158787,-0.5483997953733922,0.08630318021173104
2019-06-01,-0.30216185802311596,0.10513070374393331,-0.9590678021785537,-0.30216185802311596
2019-07-01,-0.03682934163300828,0.36561701481443115,-0.6585862836555381,-0.03682934163300828
2019-08-01,-0.23062219714738155,0.21661846292170306,-1.2291928130908518,-0.23062219714738155
2019-09-01,-0.286231227013902,0.1294553838665514,-1.5770635436946845,-0.286231227013902
2019-10-01,-0.5609211361682838,-0.2948414018591813,-0.8419680445347233,-0.5609211361682838
2019-11-01,-0.6508761917329456,-0.5833275689734688,-0.2599964317756469,-0.6508761917329456
2019-12-01,-0.8270602474395652,-1.013034358368019,-0.261702938472727,-0.8270602474395652
2020-01-01,-0.6482390950762814,-1.0283254997495217,-0.16476759881145117,-0.6482390950762814
2020-02-01,-0.4315844332656139,-0.34920230306785527,-0.0034758523224622554,-0.4315844332656139
