date,ticker,cost_of_revenue,gross_profit,net_income,operating_income,rd_expense,revenue,stockholders_equity,total_assets
2017-09-30,GOOGL,11148000000.0,16624000000.0,6732000000.0,7782000000.0,4205000000.0,27772000000.0,157100000000.0,189536000000.0
2017-09-30,META,1448000000.0,8880000000.0,4707000000.0,5122000000.0,2052000000.0,10328000000.0,71208000000.0,78998000000.0
2017-09-30,MSFT,8278000000.0,16260000000.0,6576000000.0,7708000000.0,3574000000.0,24538000000.0,89647000000.0,249097000000.0
2017-09-30,TSLA,2535535000.0,449140000.0,-619376000.0,-535480000.0,331622000.0,2984675000.0,4711480000.0,28107074000.0
2017-10-31,NVDA,1067000000.0,1569000000.0,838000000.0,895000000.0,462000000.0,2636000000.0,6352000000.0,9830000000.0
2017-12-31,AAPL,54381000000.0,33912000000.0,20065000000.0,26274000000.0,3407000000.0,88293000000.0,140199000000.0,406794000000.0
2017-12-31,AMZN,38494000000.0,21959000000.0,1856000000.0,2127000000.0,,60453000000.0,27709000000.0,131310000000.0
2017-12-31,GOOGL,14267000000.0,18056000000.0,-3020000000.0,7664000000.0,4306000000.0,32323000000.0,152502000000.0,197295000000.0
2017-12-31,META,1610000000.0,11362000000.0,4269000000.0,7353000000.0,1949000000.0,12972000000.0,74347000000.0,84524000000.0
2017-12-31,MSFT,11064000000.0,17854000000.0,-6302000000.0,8679000000.0,3504000000.0,28918000000.0,78360000000.0,256003000000.0
2017-12-31,TSLA,2849463000.0,438786000.0,-675350000.0,-598141000.0,354637000.0,3288249000.0,4237242000.0,28655372000.0
2018-01-31,NVDA,1110000000.0,1801000000.0,1118000000.0,1073000000.0,508000000.0,2911000000.0,7471000000.0,11241000000.0
2018-03-31,AAPL,37715000000.0,23422000000.0,13822000000.0,15894000000.0,3378000000.0,61137000000.0,126878000000.0,367502000000.0
2018-03-31,AMZN,30735000000.0,20307000000.0,1629000000.0,1927000000.0,,51042000000.0,31463000000.0,126362000000.0
2018-03-31,GOOGL,13467000000.0,17679000000.0,9401000000.0,7001000000.0,5039000000.0,31146000000.0,160825000000.0,206935000000.0
2018-03-31,META,1927000000.0,10039000000.0,4988000000.0,5449000000.0,2238000000.0,11966000000.0,77620000000.0,88945000000.0
2018-03-31,MSFT,9269000000.0,17550000000.0,7424000000.0,8292000000.0,3715000000.0,26819000000.0,79239000000.0,245497000000.0
2018-03-31,TSLA,2952225000.0,456526000.0,-709551000.0,-596974000.0,367096000.0,3408751000.0,4450695000.0,27271429000.0
2018-04-30,NVDA,1139000000.0,2068000000.0,1244000000.0,1295000000.0,542000000.0,3207000000.0,7717000000.0,11460000000.0
2018-06-30,AAPL,32844000000.0,20421000000.0,11519000000.0,12612000000.0,3701000000.0,53265000000.0,114949000000.0,349197000000.0
2018-06-30,AMZN,30632000000.0,22254000000.0,2534000000.0,2983000000.0,,52886000000.0,34995000000.0,134100000000.0
2018-06-30,GOOGL,13883000000.0,18774000000.0,3195000000.0,2807000000.0,5114000000.0,32657000000.0,162000000000.0,211610000000.0
2018-06-30,META,2214000000.0,11017000000.0,5106000000.0,5863000000.0,2523000000.0,13231000000.0,79382000000.0,90291000000.0
2018-06-30,MSFT,9742000000.0,20343000000.0,8873000000.0,10379000000.0,3933000000.0,30085000000.0,82718000000.0,258848000000.0
2018-06-30,TSLA,3383301000.0,618930000.0,-717539000.0,-621392000.0,386129000.0,4002231000.0,3906421000.0,27910000000.0
2018-07-31,NVDA,1148000000.0,1975000000.0,1101000000.0,1157000000.0,581000000.0,3123000000.0,8795000000.0,12882000000.0
2018-09-30,AAPL,38816000000.0,24084000000.0,14125000000.0,16118000000.0,3750000000.0,62900000000.0,107147000000.0,365725000000.0
2018-09-30,AMZN,33003000000.0,23573000000.0,2883000000.0,3724000000.0,,56576000000.0,39125000000.0,143695000000.0
2018-09-30,GOOGL,14281000000.0,19459000000.0,9192000000.0,8310000000.0,5232000000.0,33740000000.0,169840000000.0,221538000000.0
2018-09-30,META,2418000000.0,11309000000.0,5137000000.0,5781000000.0,2657000000.0,13727000000.0,80342000000.0,92452000000.0
2018-09-30,MSFT,9905000000.0,19179000000.0,8824000000.0,9955000000.0,3977000000.0,29084000000.0,85967000000.0,257619000000.0
2018-09-30,TSLA,5300748000.0,1523665000.0,311516000.0,416757000.0,350848000.0,6824413000.0,4508838000.0,29262713000.0
2018-10-31,NVDA,1260000000.0,1921000000.0,1230000000.0,1058000000.0,605000000.0,3181000000.0,9475000000.0,13657000000.0
2018-12-31,AAPL,52279000000.0,32031000000.0,19965000000.0,23346000000.0,3902000000.0,84310000000.0,117892000000.0,373719000000.0
2018-12-31,AMZN,44786000000.0,27597000000.0,3027000000.0,3786000000.0,,72383000000.0,43549000000.0,162648000000.0
2018-12-31,GOOGL,17918000000.0,21358000000.0,8948000000.0,8203000000.0,6034000000.0,39276000000.0,177628000000.0,232792000000.0
2018-12-31,META,2796000000.0,14118000000.0,6881000000.0,7820000000.0,2855000000.0,16914000000.0,84127000000.0,97334000000.0
2018-12-31,MSFT,12423000000.0,20048000000.0,8420000000.0,10258000000.0,4070000000.0,32471000000.0,92128000000.0,258859000000.0
2018-12-31,TSLA,5782973000.0,1442900000.0,139483000.0,413536000.0,356297000.0,7225873000.0,4923243000.0,29739614000.0
2019-01-31,NVDA,998000000.0,1207000000.0,567000000.0,,,2205000000.0,9342000000.0,13292000000.0
2019-03-31,AAPL,36194000000.0,21821000000.0,11561000000.0,13415000000.0,3948000000.0,58015000000.0,105860000000.0,341998000000.0
2019-03-31,AMZN,33920000000.0,25780000000.0,3561000000.0,4420000000.0,,59700000000.0,48410000000.0,178102000000.0
2019-03-31,GOOGL,16012000000.0,20327000000.0,6657000000.0,6608000000.0,6029000000.0,36339000000.0,183472000000.0,245349000000.0
2019-03-31,META,2816000000.0,12261000000.0,2429000000.0,3317000000.0,2860000000.0,15077000000.0,86516000000.0,109477000000.0
2019-03-31,MSFT,10170000000.0,20401000000.0,8809000000.0,10341000000.0,4316000000.0,30571000000.0,94864000000.0,263281000000.0
2019-03-31,TSLA,3975721000.0,565743000.0,-702135000.0,-521831000.0,340174000.0,4541464000.0,4605596000.0,28912524000.0
2019-04-30,NVDA,924000000.0,1296000000.0,394000000.0,358000000.0,674000000.0,2220000000.0,9704000000.0,14021000000.0
2019-06-30,AAPL,33582000000.0,20227000000.0,10044000000.0,11544000000.0,4257000000.0,53809000000.0,96456000000.0,322239000000.0
2019-06-30,AMZN,36337000000.0,27067000000.0,2625000000.0,3084000000.0,,63404000000.0,53061000000.0,191351000000.0
2019-06-30,GOOGL,17296000000.0,21648000000.0,9947000000.0,9180000000.0,6213000000.0,38944000000.0,192192000000.0,257101000000.0
2019-06-30,META,3307000000.0,13579000000.0,2616000000.0,4626000000.0,3315000000.0,16886000000.0,88762000000.0,117006000000.0
2019-06-30,MSFT,10412000000.0,23305000000.0,13187000000.0,12405000000.0,4513000000.0,33717000000.0,102330000000.0,286556000000.0
2019-06-30,TSLA,5428630000.0,921046000.0,-408334000.0,-167458000.0,323898000.0,6349676000.0,5715393000.0,31872597000.0
2019-07-31,NVDA,1038000000.0,1541000000.0,552000000.0,571000000.0,704000000.0,2579000000.0,10336000000.0,14775000000.0
2019-09-30,AAPL,39727000000.0,24313000000.0,13686000000.0,15625000000.0,4110000000.0,64040000000.0,90488000000.0,338516000000.0
2019-09-30,AMZN,41302000000.0,28679000000.0,2134000000.0,3157000000.0,,69981000000.0,56508000000.0,199099000000.0
2019-09-30,GOOGL,17568000000.0,22931000000.0,7068000000.0,9177000000.0,6554000000.0,40499000000.0,194969000000.0,263044000000.0
2019-09-30,META,3155000000.0,14497000000.0,6091000000.0,7185000000.0,3548000000.0,17652000000.0,93999000000.0,124418000000.0
2019-09-30,MSFT,10406000000.0,22649000000.0,10678000000.0,12686000000.0,4565000000.0,33055000000.0,106061000000.0,278955000000.0
2019-09-30,TSLA,5112000000.0,1191000000.0,143000000.0,261000000.0,334000000.0,6303000000.0,6040000000.0,32795000000.0
2019-10-31,NVDA,1098000000.0,1916000000.0,899000000.0,927000000.0,712000000.0,3014000000.0,11214000000.0,15810000000.0
2019-12-31,AAPL,56602000000.0,35217000000.0,22236000000.0,25569000000.0,4451000000.0,91819000000.0,89531000000.0,340618000000.0
2019-12-31,AMZN,53977000000.0,33460000000.0,3268000000.0,3879000000.0,,87437000000.0,62060000000.0,225248000000.0
2019-12-31,GOOGL,21020000000.0,25055000000.0,10671000000.0,9266000000.0,7222000000.0,46075000000.0,201442000000.0,275909000000.0
2019-12-31,META,3492000000.0,17590000000.0,7349000000.0,8858000000.0,3877000000.0,21082000000.0,101054000000.0,133376000000.0
2019-12-31,MSFT,12358000000.0,24548000000.0,11649000000.0,13891000000.0,4603000000.0,36906000000.0,110109000000.0,282794000000.0
2019-12-31,TSLA,5992649000.0,1391000000.0,105000000.0,359289000.0,344928000.0,7384000000.0,6618000000.0,34309000000.0
2020-01-31,NVDA,1090000000.0,2015000000.0,950000000.0,,,3105000000.0,12204000000.0,17315000000.0
2020-03-31,AAPL,35943000000.0,22370000000.0,11249000000.0,12853000000.0,4565000000.0,58313000000.0,78425000000.0,320400000000.0
2020-03-31,AMZN,44257000000.0,31195000000.0,2535000000.0,3989000000.0,,75452000000.0,65272000000.0,221238000000.0
2020-03-31,GOOGL,18982000000.0,22177000000.0,6836000000.0,7977000000.0,6820000000.0,41159000000.0,203659000000.0,273403000000.0
2020-03-31,META,3459000000.0,14278000000.0,4902000000.0,5893000000.0,4015000000.0,17737000000.0,105304000000.0,138371000000.0
2020-03-31,MSFT,10975000000.0,24046000000.0,10752000000.0,12975000000.0,4887000000.0,35021000000.0,114501000000.0,285449000000.0
2020-03-31,TSLA,4751000000.0,1234000000.0,16000000.0,283000000.0,324000000.0,5985000000.0,9173000000.0,37250000000.0
2020-04-30,NVDA,1076000000.0,2004000000.0,917000000.0,976000000.0,735000000.0,3080000000.0,13099000000.0,23254000000.0
2020-06-30,AAPL,37005000000.0,22680000000.0,11253000000.0,13091000000.0,4758000000.0,59685000000.0,72282000000.0,317344000000.0
2020-06-30,AMZN,52660000000.0,36252000000.0,5243000000.0,5843000000.0,,88912000000.0,73728000000.0,258314000000.0
2020-06-30,GOOGL,18553000000.0,19744000000.0,6959000000.0,6383000000.0,6875000000.0,38297000000.0,207322000000.0,278492000000.0
2020-06-30,META,3829000000.0,14858000000.0,5178000000.0,5963000000.0,4462000000.0,18687000000.0,110447000000.0,139691000000.0
2020-06-30,MSFT,12339000000.0,25694000000.0,11202000000.0,13407000000.0,5214000000.0,38033000000.0,118304000000.0,301311000000.0
2020-06-30,TSLA,4769000000.0,1267000000.0,104000000.0,327000000.0,279000000.0,6036000000.0,9855000000.0,38135000000.0
2020-07-31,NVDA,1591000000.0,2275000000.0,622000000.0,651000000.0,997000000.0,3866000000.0,13914000000.0,25180000000.0
2020-09-30,AAPL,40009000000.0,24689000000.0,12673000000.0,14775000000.0,4978000000.0,64698000000.0,65339000000.0,323888000000.0
2020-09-30,AMZN,57106000000.0,39039000000.0,6331000000.0,6194000000.0,,96145000000.0,82775000000.0,282179000000.0
2020-09-30,GOOGL,21117000000.0,25056000000.0,11247000000.0,11213000000.0,6856000000.0,46173000000.0,212920000000.0,299243000000.0
2020-09-30,META,4194000000.0,17276000000.0,7846000000.0,8040000000.0,4763000000.0,21470000000.0,117731000000.0,146437000000.0
2020-09-30,MSFT,11002000000.0,26152000000.0,13893000000.0,15876000000.0,4926000000.0,37154000000.0,123392000000.0,301001000000.0
2020-09-30,TSLA,6708000000.0,2063000000.0,331000000.0,809000000.0,366000000.0,8771000000.0,16031000000.0,45691000000.0
2020-10-31,NVDA,1766000000.0,2960000000.0,1336000000.0,1398000000.0,1047000000.0,4726000000.0,15334000000.0,26881000000.0
2020-12-31,AAPL,67111000000.0,44328000000.0,28755000000.0,33534000000.0,5163000000.0,111439000000.0,66224000000.0,354054000000.0
2020-12-31,AMZN,79284000000.0,46271000000.0,7222000000.0,6873000000.0,,125555000000.0,93404000000.0,321195000000.0
2020-12-31,GOOGL,26080000000.0,30818000000.0,15227000000.0,15651000000.0,7022000000.0,56898000000.0,222544000000.0,319616000000.0
2020-12-31,META,5210000000.0,22861000000.0,11220000000.0,12775000000.0,5207000000.0,28071000000.0,128290000000.0,159316000000.0
2020-12-31,MSFT,14194000000.0,28882000000.0,15463000000.0,17897000000.0,4899000000.0,43076000000.0,130236000000.0,304137000000.0
2020-12-31,TSLA,8678000000.0,2066000000.0,270000000.0,575000000.0,522000000.0,10744000000.0,22225000000.0,52148000000.0
2021-01-31,NVDA,,,,,,,16893000000.0,28791000000.0
2021-03-31,AAPL,51505000000.0,38079000000.0,23630000000.0,27503000000.0,5262000000.0,89584000000.0,69178000000.0,337158000000.0
2021-03-31,AMZN,62403000000.0,46115000000.0,8107000000.0,8865000000.0,,108518000000.0,103320000000.0,323077000000.0
2021-03-31,GOOGL,24103000000.0,31211000000.0,17930000000.0,16437000000.0,7485000000.0,55314000000.0,230013000000.0,327095000000.0
2021-03-31,META,5131000000.0,21040000000.0,9497000000.0,11378000000.0,5197000000.0,26171000000.0,133657000000.0,163523000000.0
2021-03-31,MSFT,13045000000.0,28661000000.0,15457000000.0,17048000000.0,5204000000.0,41706000000.0,134505000000.0,308879000000.0
