date,ticker,measure,value
2017-09-30,AAPL,revenue,52579000000.0
2017-12-31,AAPL,revenue,88293000000.0
2018-03-31,AAPL,revenue,61137000000.0
2018-06-30,AAPL,revenue,53265000000.0
2018-09-30,AAPL,revenue,62900000000.0
2018-12-31,AAPL,revenue,84310000000.0
2019-03-31,AAPL,revenue,58015000000.0
2019-06-30,AAPL,revenue,53809000000.0
2019-09-30,AAPL,revenue,64040000000.0
2019-12-31,AAPL,revenue,91819000000.0
2020-03-31,AAPL,revenue,58313000000.0
2020-06-30,AAPL,revenue,59685000000.0
2020-09-30,AAPL,revenue,64698000000.0
2020-12-31,AAPL,revenue,111439000000.0
2021-03-31,AAPL,revenue,89584000000.0
2021-06-30,AAPL,revenue,81434000000.0
2021-09-30,AAPL,revenue,83360000000.0
2021-12-31,AAPL,revenue,123945000000.0
2022-03-31,AAPL,revenue,97278000000.0
2022-06-30,AAPL,revenue,82959000000.0
2022-09-30,AAPL,revenue,90146000000.0
2022-12-31,AAPL,revenue,117154000000.0
2023-03-31,AAPL,revenue,94836000000.0
2023-06-30,AAPL,revenue,81797000000.0
2023-09-30,AAPL,revenue,89498000000.0
2023-12-31,AAPL,revenue,119575000000.0
2024-03-31,AAPL,revenue,90753000000.0
2024-06-30,AAPL,revenue,85777000000.0
2024-09-30,AAPL,revenue,94930000000.0
2024-12-31,AAPL,revenue,124300000000.0
2025-03-31,AAPL,revenue,95359000000.0
2025-06-30,AAPL,revenue,94036000000.0
2025-09-30,AAPL,revenue,102466000000.0
2025-12-31,AAPL,revenue,143756000000.0
2014-09-30,AAPL,stockholders_equity,111547000000.0
2014-12-31,AAPL,stockholders_equity,123328000000.0
2015-03-31,AAPL,stockholders_equity,129006000000.0
2015-06-30,AAPL,stockholders_equity,125677000000.0
2015-09-30,AAPL,stockholders_equity,119355000000.0
2015-12-31,AAPL,stockholders_equity,128267000000.0
2016-03-31,AAPL,stockholders_equity,130457000000.0
2016-06-30,AAPL,stockholders_equity,126541000000.0
2016-09-30,AAPL,stockholders_equity,128249000000.0
2016-12-31,AAPL,stockholders_equity,132390000000.0
2017-03-31,AAPL,stockholders_equity,134082000000.0
2017-06-30,AAPL,stockholders_equity,132425000000.0
2017-09-30,AAPL,stockholders_equity,134047000000.0
2017-12-31,AAPL,stockholders_equity,140199000000.0
2018-03-31,AAPL,stockholders_equity,126878000000.0
2018-06-30,AAPL,stockholders_equity,114949000000.0
2018-09-30,AAPL,stockholders_equity,107147000000.0
2018-12-31,AAPL,stockholders_equity,117892000000.0
2019-03-31,AAPL,stockholders_equity,105860000000.0
2019-06-30,AAPL,stockholders_equity,96456000000.0
2019-09-30,AAPL,stockholders_equity,90488000000.0
2019-12-31,AAPL,stockholders_equity,89531000000.0
2020-03-31,AAPL,stockholders_equity,78425000000.0
2020-06-30,AAPL,stockholders_equity,72282000000.0
2020-09-30,AAPL,stockholders_equity,65339000000.0
2020-12-31,AAPL,stockholders_equity,66224000000.0
2021-03-31,AAPL,stockholders_equity,69178000000.0
2021-06-30,AAPL,stockholders_equity,64280000000.0
2021-09-30,AAPL,stockholders_equity,63090000000.0
2021-12-31,AAPL,stockholders_equity,71932000000.0
2022-03-31,AAPL,stockholders_equity,67399000000.0
2022-06-30,AAPL,stockholders_equity,58107000000.0
2022-09-30,AAPL,stockholders_equity,50672000000.0
2022-12-31,AAPL,stockholders_equity,56727000000.0
2023-03-31,AAPL,stockholders_equity,62158000000.0
2023-06-30,AAPL,stockholders_equity,60274000000.0
2023-09-30,AAPL,stockholders_equity,62146000000.0
2023-12-31,AAPL,stockholders_equity,74100000000.0
2024-03-31,AAPL,stockholders_equity,74194000000.0
2024-06-30,AAPL,stockholders_equity,66708000000.0
2024-09-30,AAPL,stockholders_equity,56950000000.0
2024-12-31,AAPL,stockholders_equity,66758000000.0
2025-03-31,AAPL,stockholders_equity,66796000000.0
2025-06-30,AAPL,stockholders_equity,65830000000.0
2025-09-30,AAPL,stockholders_equity,73733000000.0
2025-12-31,AAPL,stockholders_equity,88190000000.0
2014-09-30,AAPL,total_assets,231839000000.0
2014-12-31,AAPL,total_assets,261894000000.0
2015-03-31,AAPL,total_assets,261194000000.0
2015-06-30,AAPL,total_assets,273151000000.0
2015-09-30,AAPL,total_assets,290479000000.0
2015-12-31,AAPL,total_assets,293284000000.0
